,lat,long,h,mag,geo
34,0.8763273933754949,0.858979673338604,17079.781242611825,[563.71411438 -82.99035973  16.30602339],"(17001758.520329103, array([-1.10927855e-02, -1.78856328e-04, -7.25131202e-01]))"
35,0.6785840095512617,1.2055416773998102,17085.274663516713,[563.77305771 -83.02336812  11.56807034],"(17002392.83580389, array([-8.58932053e-03, -1.97510819e-04, -7.25219300e-01]))"
36,-0.760235957689758,1.4370571205424914,17087.245821299184,[562.43276317 -83.68193554 -16.70903294],"(17002651.709614526, array([ 9.62228963e-03,  2.56506547e-04, -7.25228394e-01]))"
37,-1.3199964739614218,1.14126012218316,17084.200143960596,[561.61704675 -84.00884052 -26.6212589 ],"(17002465.17664547, array([ 1.67082115e-02,  3.41254165e-04, -7.25083764e-01]))"
38,-1.1546593721300882,0.7612323542515638,17077.605117536867,[561.58055355 -83.98775944 -22.4188747 ],"(17001825.422056668, array([ 1.46162557e-02,  2.03449003e-04, -7.25074421e-01]))"
39,-1.079578253638147,0.3661497552209461,17071.56138479573,[561.38949843 -84.00682884 -19.89693698],"(17000795.73798713, array([ 1.36652871e-02,  9.68063323e-05, -7.25005135e-01]))"
40,-1.0239905495707136,-0.039659352882609064,17070.594185108588,[561.14679135 -84.03214042 -17.71498965],"(16999516.964872617, array([ 1.29601139e-02,  5.71818329e-07, -7.24908989e-01]))"
41,-0.9647739436300732,-0.45582111767529504,17076.562829084112,[560.89982105 -84.0551835  -15.43345943],"(16998193.655765917, array([ 1.22085021e-02, -8.74874063e-05, -7.24809141e-01]))"
42,-0.8691993020482824,-0.8814090921266531,17086.726520368924,[560.70837939 -84.06391371 -12.43165415],"(16997065.336450536, array([ 1.09968519e-02, -1.59032532e-04, -7.24732281e-01]))"
43,-0.5306614269492018,-1.3027305571828274,17094.809558778867,[560.81671009 -83.96546628  -4.80398241],"(16996363.486581944, array([ 6.71271873e-03, -1.36877154e-04, -7.24724778e-01]))"
44,1.554918328845464,-1.3148054804207017,17095.08100708606,[562.63848046 -83.0188462   35.21548186],"(16996258.3071054, array([-1.96657029e-02,  4.45879615e-04, -7.24479859e-01]))"
45,1.1869093203742849,-0.8742189005855661,17086.917519698334,[562.6315401  -83.11293054  26.94660166],"(16996817.1857991, array([-1.50153126e-02,  2.21534222e-04, -7.24638963e-01]))"
46,1.0858414754385044,-0.40668166784584214,17076.08175870494,[562.89126196 -83.08789223  23.74104256],"(16997960.232367024, array([-1.37399421e-02,  8.87422430e-05, -7.24761811e-01]))"
47,1.019740798581135,0.07228631031320275,17070.745755319214,[563.22013743 -83.04744704  21.17949377],"(16999464.167793613, array([-1.29061394e-02, -2.61765090e-05, -7.24905451e-01]))"
48,0.9465129905934847,0.5616829511252512,17074.635844841836,[563.55109956 -83.00635118  18.45503445],"(17000991.834776558, array([-1.19809210e-02, -1.28708172e-04, -7.25051662e-01]))"
49,0.7936175013617289,1.0583727501328728,17083.194300791532,[563.78063184 -82.99492027  14.17842926],"(17002163.010783207, array([-1.00456910e-02, -1.99715066e-04, -7.25180974e-01]))"
50,-0.7109619445744819,1.4383284449963263,17087.254002527538,[562.48930908 -83.65749184 -15.76777905],"(17002650.959645804, array([ 8.99860817e-03,  2.42117392e-04, -7.25236343e-01]))"
51,-1.2377191051397598,1.005245759388102,17082.03322161379,[561.63692381 -83.99070778 -24.67597432],"(17002282.334099766, array([ 1.56672956e-02,  2.83752313e-04, -7.25091430e-01]))"
52,-1.0971652646701262,0.4766643669716722,17072.89725491982,[561.44972891 -84.00038327 -20.53744968],"(17001112.146274507, array([ 1.38881784e-02,  1.24982195e-04, -7.25027892e-01]))"
53,-1.02082088698655,-0.06447119783668878,17070.76296498612,[561.1313383  -84.03368975 -17.58588014],"(16999434.980224647, array([ 1.29198760e-02, -4.99317856e-06, -7.24902713e-01]))"
54,-0.9362298755162789,-0.6158516376975559,17080.208676995437,[560.81583378 -84.06152556 -14.44577782],"(16997729.815296244, array([ 1.18464064e-02, -1.17596039e-04, -7.24775579e-01]))"
55,-0.7131334758578991,-1.1711354034870047,17092.855822388665,[560.69826706 -84.03053322  -8.65168059],"(16996529.771464024, array([ 9.02120493e-03, -1.72492818e-04, -7.24713888e-01]))"
56,1.5500103914931493,-1.3292347141784433,17095.237742386722,[562.62711118 -83.023588    35.16004093],"(16996250.526519183, array([-1.96035153e-02,  4.49385475e-04, -7.24480879e-01]))"
57,1.1561593922562114,-0.7665628352031381,17084.322564837632,[562.68135216 -83.11016609  26.0644921 ],"(16997037.90563928, array([-1.46271214e-02,  1.87813986e-04, -7.24665743e-01]))"
58,1.052376351236749,-0.1735719052111595,17072.370839093095,[563.04811787 -83.06880732  22.46915511],"(16998671.192712788, array([-1.33178875e-02,  3.10270802e-05, -7.24830349e-01]))"
59,0.9690277410888231,0.43034820947992497,17072.811920649612,[563.46696802 -83.01657087  19.24107756],"(17000605.256643735, array([-1.22656026e-02, -1.02964650e-04, -7.25013922e-01]))"
60,0.8027309283335105,1.0418397563819544,17082.930643192205,[563.77762239 -82.99352374  14.39829045],"(17002134.03023638, array([-1.01610721e-02, -1.98730429e-04, -7.25176893e-01]))"
